,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio
406,528,"The last thing the two Savage siblings ever wanted to do was look back on their undeniably dysfunctional family legacy. Wendy is a self-medicating struggling East Village playwright, AKA a temp who spends her days applying for grants and stealing office supplies, dating her very married neighbor. Jon is an obsessive compulsive college professor writing obscure books on even more obscure subjects in Buffalo who still can't commit to his girlfriend after four years even though her cooking brings him tears of joy. Then, out of the blue, comes the call that changes everything. They're told that the father they have long feared and avoided, Lenny Savage, has lost his marbles. And, there is no one to help him but his kids. Now, as they put the middle of their already arrested lives on hold, Wendy and Jon must live together under one roof for the first time since childhood, soon rediscovering the eccentricities that drove each other crazy. Faced with complete upheaval and the ultimate sibling rivalry battle over how to handle their father's final days, they are forced to face the past and finally start to realize what adulthood, family and, most surprisingly, each other are really about.",R,Comedy|Drama,Tamara Jenkins,Tamara Jenkins,"Nov 28, 2007","Apr 22, 2008",$,6426953,114 minutes,Fox Searchlight Pictures
423,554,"1970s-era DC antihero Jonah Hex makes his way to the big screen as co-screenwriters Mark Neveldine and Brian Taylor (Crank, Gamer) team to follow the disfigured gunslinger and part-time bounty hunter on his biggest adventure yet. Supernatural elements combine with Western aesthetics to take viewers on a wild and bloody ride, with Josh Brolin leading the way as Hex and John Malkovich stepping into the villainous role of Turnbull. Jimmy Hayward (Horton Hears a Who) directs.",PG-13,Action and Adventure|Drama|Horror|Western,Jimmy Hayward,Mark Neveldine|Brian Taylor,"Jun 18, 2010","Oct 12, 2010",$,10500000,84 minutes,Warner Bros. Pictures
430,563,Kat Ellis is looking for the right man -- now,PG-13,Comedy|Drama|Romance,Clare Kilner,Dana Fox,"Feb 4, 2005","Aug 16, 2005",$,32000000,89 minutes,Universal Pictures
436,572,"Earl and Hank have only one thing in common: they're both L.A.P.D. rejects. One just got kicked out of the force--the other can't even get in. After confronting each other on opposite sides of the law, during a traffic stop that escalates out of control, these two luckless individuals end up partnered as lowly security guards. Despite being damned to the lowest rung of the law enforcement ladder, Earl and Hank uncover a sophisticated smuggling operation led by Nash and his band of thugs. When Earl and Hank get their hands on some hot property, they go on the run from, first, the bad guys, then, the L.A.P.D.--led by Lt. Washington and Detective McDuff. What these two unlikely partners do to law enforcement is a crime, but they just might save the day. That is, if they don't kill each other first.",PG-13,Action and Adventure|Comedy|Drama,Dennis Dugan,David Ronn|Jay Scherick,"Jan 17, 2003","May 27, 2003",$,35764982,91 minutes,Sony Pictures
443,582,"When a half-Chechen, half-Russian, brutally tortured immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill-gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist? (c) Roadside Attractions",R,Drama|Mystery and Suspense,Anton Corbijn,Andrew Bovell,"Jul 25, 2014","Nov 4, 2014",$,14037964,121 minutes,Lionsgate/Roadside Attractions
450,590,"Two ferociously ambitious sisters, Mary and Anne Boleyn, are rivals for the bed and heart of the 16th century English king Henry VIII.",PG-13,Drama|Romance,Justin Chadwick,Peter Morgan,"Feb 29, 2008","Jun 10, 2008",$,26800000,115 minutes,Sony Pictures/Columbia
454,596,"""Arctic Tale"" is an epic adventure that explores the vast world of the Great North. The film follows the walrus, Seela, and the polar bear, Nanu, on their journey from birth to adolescence to maturity and parenthood in the frozen Arctic wilderness. Once a perpetual winter wonderland of snow and ice, the walrus' and the polar bear's beautiful icebound world is melting away from underneath them.",G,Documentary|Special Interest,Adam Ravetch|Sarah Robertson,Linda Woolverton|Mose Richards|Kristin Gore,"Aug 17, 2007","Aug 1, 2017",$,598103,86 minutes,Paramount Vantage
466,610,"American tourist Frank (Johnny Depp) meets a mysterious beauty who drags him into a dangerous world of intrigue and espionage while traveling through Europe in director Florian Henckel von Donnersmarck's paranoid thriller. When Frank met Elise (Angelina Jolie) on the train, he thought it was a chance encounter. Little did Frank realize it was all part of a much bigger plan, one that would soon find him dodging bullets through both the historic streets of Paris and the winding canals of Venice. Now, the faster Frank and Elise run, the more intense their romance grows.",PG-13,Action and Adventure|Mystery and Suspense|Romance,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck|Christopher McQuarrie|Julian Fellowes,"Dec 10, 2010","Mar 22, 2011",$,67631157,103 minutes,Columbia Pictures
467,611,"Directed by Clint Eastwood, the mysterious drama Mystic River is based on the novel by Dennis Lehane and adapted by screenwriter Brian Helgeland. Set in an Irish neighborhood in Boston, Jimmy, Sean, and Dave are three childhood friends who are reunited after a brutal murder takes place. Reformed convict Jimmy Markum (Sean Penn) and his devoted wife Annabeth (Laura Linney) find out that their teenage daughter Katie (Emmy Rossum) has been beaten and killed. Jimmy's old friend Sean Devine (Kevin Bacon) is the homicide detective assigned to the case, along with partner Whitey Powers (Laurence Fishburne). Jimmy also gets his relatives, the Savage brothers (Adam Nelson and Robert Wahlberg), to conduct an investigation of their own. Jimmy and Sean both start to suspect their old pal, Dave Boyle (Tim Robbins), who lives a quiet life with his wife Celeste (Marcia Gay Harden) but harbors some disturbing secrets. Clint Eastwood won a Golden Coach for Mystic River at the 2003 Cannes Film Festival.",R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,"Oct 8, 2003","Jun 8, 2004",$,88800000,137 minutes,WB
477,623,"After a long absence, gangster and father Ulysses Pick (Jason Patric) arrives home to a house haunted with memories, towing the body of a teenaged girl and a bound and gagged young man. His gang waits inside his house, having shot their way past police. There is friction in the ranks. Ulysses, however, is focused on one thing: journeying through the house, room by room, and reaching his wife Hyacinth (Isabella Rossellini) in her bedroom upstairs. The equilibrium of the house has been disturbed and his odyssey eventually becomes an emotional tour, as the ghostly nooks and crannies of the house reveal more about the mysterious Pick family. -- (C) Official Site",R,Art House and International|Drama|Mystery and Suspense,Guy Maddin,Guy Maddin|George Toles,"Apr 6, 2012","Jun 18, 2012",$,22099,93 minutes,Monterey Media
479,626,"Popular bogeymen Jason Voorhees terrorizes a group of nubile astronauts five centuries into the future in this sci-fi update of the Friday the 13th franchise. Early in the 21st century, Jason (actor/stunt man Kane Hoddar, filling the role for a fourth time) is experimented upon by army technocrats who hope to turn his supernatural invulnerability into a military application. Most of them meet a swift and bloody end -- except Rowan (Lexa Doig), a beautiful functionary, who traps the killer in a cryogenic stasis chamber. Unfortunately, she takes a machete blow in the process, gets frozen herself, and wakes up on a spaceship in the year 2455. The earth has long since been rendered uninhabitable, but the survivors include a group of archaeological students headed by Professor Lowe (Jonathan Potts), who hopes to make a quick buck by selling the corpse of the historical serial killer. The kids re-animate Rowan with the help of nanotechnology. Little do they know that a mere thaw job is enough to resuscitate Jason and reawaken his bloodthirst. Soon, the comely students and their space-marine protectors are being dispatched one by one. Help arrives in the form of a holographic chamber and an android named Kay-Em 14 (Lisa Ryder). Soon, though, Jason himself gets an upgrade -- just as the spaceship is getting ready to self-destruct. The tenth installment in the long-running horror series, Jason X was the first new entry to appear in almost a decade. In fact, the previous film, 1993's Jason Goes to Hell: The Final Friday, was one of two installments whose titles erroneously contained the word ""final.""",R,Horror|Mystery and Suspense|Science Fiction and Fantasy,James Isaac,Todd Farmer,"Apr 26, 2002","Jun 1, 2004",$,12610731,91 minutes,New Line Cinema
492,643,"Brigsby Bear Adventures is a children's TV show produced for an audience of one: James (Kyle Mooney). When the show abruptly ends, James' life changes forever, he sets out to finish the story himself and must learn to cope with the realities of a new world that he knows nothing about.",PG-13,Comedy,Dave McCary,Kevin Costello,"Jul 28, 2017","Nov 14, 2017",$,529426,97 minutes,Sony Pictures Classics
504,661,"One woman's rocky road to the altar gets played for laughs in this comedy, adapted from the one-woman off-Broadway show written by and starring Nia Vardalos. Toula (Vardalos) is a Greek-American woman who is in her early thirties and single, with no immediate prospects of changing that status any time soon. This bothers Toula a bit, but not half as much as it distresses her mother (Lainie Kazan) and father (Michael Constantine), who want to send her to Greece in hopes of finding a husband in the old country. Toula isn't interested in leaving the country to find a man, but since she works in the family business -- a Greek restaurant in Chicago called Dancing Zorba's -- she has to hear about it whether she likes it or not. One day, after seeing a handsome stranger in the restaurant and not having the courage to talk to him, Toula decides she needs a bit of self-improvement. Despite her dad's misgivings, Toula signs up for a night-school class studying computers, trades in her glasses for contact lenses, gets a different job at a travel agency, and spruces herself up with a new look and a new attitude. To her very pleasant surprise, she once again encounters the handsome stranger, who soon asks her out on a date. Schoolteacher Ian Miller (John Corbett) is seemingly perfect -- he's tall, handsome, smart, good-natured, and soon in love with Toula -- except for two little things: he's not Greek, and he's a vegetarian, both of which horrify Toula's family. When Ian pops the question (and Toula says yes), the bride-to-be has to negotiate a reasonably peaceful meeting between Ian's upper-class parents and her own working-class extended family. There's also the matter of the wedding, which Toula's mother is planning around the notion that quantity IS quality. My Big Fat Greek Wedding also features Ian Gomez (Vardalos' real-life husband), Louis Mandylor, Andrea Martin, and Joey Fatone (from the pop group",PG,Comedy|Romance,Joel Zwick,Nia Vardalos,"Apr 19, 2002","Feb 11, 2003",$,241250669,95 minutes,IFC Films
509,667,"In the 3D animated comedy, The Angry Birds Movie, we'll finally find out why the birds are so angry. The movie takes us to an island populated entirely by happy, flightless birds--or almost entirely. In this paradise, Red (Jason Sudeikis), a bird with a temper problem, speedy Chuck (Josh Gad), and the volatile Bomb (Danny McBride) have always been outsiders. But when the island is visited by mysterious green piggies, it's up to these unlikely outcasts to figure out what the pigs are up to.",PG,Animation|Kids and Family,Clay Kaytis|Fergal Reilly,Jon Vitti,"May 20, 2016","Aug 16, 2016",$,107506776,95 minutes,Sony Pictures
512,672,A couple's strength and faith are tested after the wife is injured in a car crash and husband becomes attracted to another woman.,PG-13,Drama|Horror,Bill Duke,Brian Bird,"Jan 9, 2009","Apr 7, 2009",$,10572742,100 minutes,Screen Gems/SONY PICTURES
513,673,"James Robert Kennedy--nicknamed 'Radio' because of his vintage radio collection and his love of music--is a loner in Anderson, South Carolina, pushing his ever-present grocery cart up and down the streets. He speaks to no one and is rarely spoken to, until one day, Coach Harold Jones, one of the town's most respected men, and coach of the popular high school football team, befriends him. Radio is suspicious at first. But Coach Jones is persistent, even enlisting the help of Radio's mother. Jones' friends and family are taken aback as well since, until he met Radio, all his energies were poured exclusively into football. Slowly, Coach Jones earns Radio's trust and opens up a new world to him. He invites Radio to help out at football practice and during games and to sit in on his classes at school, despite the initial misgivings of Principal Daniels. He also champions him to the football players, the students and faculty. Coach Jones' life is also enriched by Radio, from whom he learns to value friendship and family ties as much as he does coaching football. Still, there are those in town who believe that Coach Jones' devotion to the young man is distracting him from his duties as head coach of the football team. There are several attempts to have Radio barred from the classroom and, after his mother's untimely death, remanded to a mental-health facility. Coach Jones valiantly fights off these efforts, but he is finally forced to make a difficult decision, which will impact both his growing friendship with Radio and his career as a football coach.",PG,Drama,Mike Tollin|Michael Tollin,Mike Rich,"Oct 24, 2003","Jan 27, 2004",$,52277485,109 minutes,Sony Pictures Entertainment
514,674,"When 22 year-old drug dealer Chris (Hirsch) has his stash of drugs stolen from him by his mother, he has to come up with six-thousand dollars quick, or he's dead. Desperate, he goes to the trailer-park to see his father, Ansel (Hayden Church), and he lays out the plan. Chris's mother, who everyone hates, has a life insurance policy that would clear up his debt and make them all rich. The problem is that Chris' mother is very much alive. Enter Detective ""Killer"" Joe Cooper, a hired hit man with the manners of a Southern gentleman, who will do the job - for an upfront fee, that Chris and Ansel can't pay. Just as Joe is about to leave, he spots Dottie (Temple), Chris' innocent younger sister. Joe makes Chris an offer, he'll keep Dottie as sexual collateral until the money is collected and his fee can be paid. -- (C) Voltage Pictures",R,Comedy|Mystery and Suspense,William Friedkin,Tracy Letts,"Jul 27, 2012","Dec 21, 2012",$,1800000,102 minutes,Independent Pictures
523,685,"Adapted from Bob Glaudini's play of the same name, Philip Seymour Hoffman's directorial debut, Jack Goes Boating, tells the simple tale of Jack (Hoffman), a shy, fortyish limo driver with a fondness for pot and reggae music -- he likes it because it sounds happy -- who meets Connie (Amy Ryan) for a blind date set up by Connie's co-worker Lucy (Daphne Rubin-Vega), who is married to Jack's best friend and fellow limo driver, Clyde (John Ortiz). As the young couple tentatively come together, breaking through layers and layers of awkwardness and low self-esteem, Clyde and Lucy's marriage begins to dissolve because of Clyde's inability to get over an incident from their past. All the while, Clyde gives Jack swimming lessons so that he can take Connie on her dream date -- a boating trip on the lake.",R,Comedy|Romance,Philip Seymour Hoffman,Bob Glaudini,"Sep 17, 2010","Jan 18, 2011",$,300000,91 minutes,Fox Searchlight
524,686,"Set in a dystopic present where vigilant gargoyles and ferocious demons rage in a battle for ultimate power, Victor Frankenstein's creation Adam (Aaron Eckhart) finds himself caught in the middle as both sides race to discover the secret to his immortality. From the creators of the hit supernatural saga, UNDERWORLD, comes the action thriller I, FRANKENSTEIN, written for the screen and directed by Stuart Beattie based on the graphic novel ""I, Frankenstein"" by Kevin Grevioux, and brought to life by a cast that includes Aaron Eckhart, Bill Nighy, Yvonne Strahovski, Miranda Otto, Jai Courtney, Socratis Otto, Mahesh Jadu, Caitlin Stasey and Aden Young as Victor Frankenstein. (c) Lionsgate",PG-13,Horror|Mystery and Suspense|Science Fiction and Fantasy,Stuart Beattie,Stuart Beattie,"Jan 24, 2014","May 13, 2014",$,15687400,92 minutes,Lionsgate Films
527,689,"""Inherent Vice,"" is the seventh feature from Paul Thomas Anderson and the first ever film adaption of a Thomas Pynchon novel. When private eye Doc Sportello's ex-old lady suddenly out of nowhere shows up with a story about her current billionaire land developer boyfriend whom she just happens to be in love with, and a plot by his wife and her boyfriend to kidnap that billionaire and throw him in a looney bin...well, easy for her to say. It's the tail end of the psychedelic",R,Drama|Mystery and Suspense,Paul Thomas Anderson,Paul Thomas Anderson,"Jan 9, 2015","Apr 28, 2015",$,6100613,148 minutes,Warner Bros. Pictures
545,714,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",R,Comedy,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,"Jun 26, 2015","Dec 15, 2015",$,63883740,120 minutes,Universal Pictures
546,715,"This psychological thriller from screenwriter Patrick Smith Kelly reunites him with his A Perfect Murder (1998) star Michael Douglas. Dr. Nathan Conrad (Douglas) is a respected adolescent therapist faced with a nightmarish scenario when his young daughter (Skye McCole Bartusiak) is snatched by Koster (Sean Bean), a criminal with a talent for high-tech surveillance. Conrad learns that the kidnapper is desperate for a critical piece of information known only to Elisabeth Burrows (Brittany Murphy), one of his catatonic pro bono patients. While his wife Aggie (Famke Janssen) remains at home, bedridden due to a broken leg, Conrad races to unlock the secret stored in Elisabeth's fractured mind, while a New York City detective (Jennifer Esposito) inches closer to discovering the Conrads' dilemma. Don't Say a Word co-stars Oliver Platt and Guy Torry and is directed by Gary Fleder, who follows up his suspense smash Kiss the Girls (1997).",R,Drama|Mystery and Suspense,Gary Fleder,Patrick Kelly|Anthony Peckham,"Sep 28, 2001","Feb 19, 2002",$,54218420,110 minutes,20th Century Fox
568,738,"Set in London in 1921, Florence Cathcart (Rebecca Hall), author of the popular book ""Seeing Through Ghosts,"" has devoted her career to exposing claims of the supernatural as nothing but hoaxes. Haunted by the recent death of her fianc",R,Art House and International|Horror|Mystery and Suspense,Nick Murphy,Nick Murphy|Stephen Volk,"Aug 17, 2012","Jan 29, 2013",$,175088,107 minutes,Cohen Media Group
584,755,"Directing his first film since 1998's Lethal Weapon 4, Richard Donner helmed this big-budget adaptation of Michael Crichton's novel of the same name. Featuring a script by first-time screenwriter George Nolfi, Timeline begins in France in the near future. A group of students from Yale are there studying a medieval site, when their professor, played by Billy Connolly, mysteriously goes missing. To make matters more enigmatic, the students are then taken back to the United States by a shadowy technology company called ITC, led by Robert Doniger (David Thewlis). The eccentric Doniger explains that because of a machine that his company built, their professor is trapped in 14th century France. In order to rescue him, two of the students, Chris Hughes (Paul Walker) and Kate Erickson (Frances O'Connor), along with Andre Marek (Gerard Butler), an archeological site manager, must travel to France, circa 1357, amid archaic war, deadly diseases, and other unexpected pitfalls. Meanwhile, David Stern (Ethan Embry), a third student, stays behind to keep an eye on the shady Doniger.",PG-13,Action and Adventure|Science Fiction and Fantasy,Richard Donner,Jeff Maguire|George Nolfi,"Nov 26, 2003","Apr 13, 2004",$,19375474,116 minutes,Paramount Pictures
585,756,"Based on a true story, U.S. Customs agent ROBERT ""BOB"" MAZUR (Bryan Cranston) goes deep undercover to infiltrate Pablo Escobar's blood-soaked drug trafficking scene plaguing the nation in 1985 by posing as slick, money-laundering businessman Bob Musella. Teamed with impulsive and streetwise fellow agent EMIR EBREU (John Leguizamo) and rookie agent posing as his fianc",R,Drama,Brad Furman,Ellen Brown Furman,"Jul 13, 2016","Oct 11, 2016",$,15425870,127 minutes,Broad Green Pictures
597,771,"From the creators of Scary Movie and Date Movie comes this tongue-in-cheek parody of the sword-and-sandal epics, dubbed Meet the Spartans. The 20th Century Fox production was written and directed by the filmmaking team of Jason Friedberg and Aaron Seltzer. Sure, Leonidas may have nothing more than a cape and some leather underwear to protect him from the razor-sharp swords of his Persian enemies, but that won't stop the brave leader and his team of 13 warriors from defending their beloved homeland against a powerful invading force that includes the likes of a mutant Paris Hilton, the Transformers, the Ghost Rider, and Rocky Balboa.",PG-13,Comedy,Jason Friedberg|Aaron Seltzer,Aaron Seltzer|Jason Friedberg,"Jan 25, 2008","Jun 3, 2008",$,38200000,84 minutes,20th Century Fox
603,779,"Suicide is not the end, but only the beginning of a fascinating journey through the afterlife for souls in search of what they could not find in their previous lives.",R,Art House and International|Comedy|Drama,Goran Dukic,Goran Dukic,"Oct 19, 2007","Mar 25, 2008",$,231512,91 minutes,Lionsgate Films/After Dark Films
605,782,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI is a darkly comic drama from Academy Award winner Martin McDonagh (IN BRUGES). After months have passed without a culprit in her daughter's murder case, Mildred Hayes (Academy Award winner Frances McDormand) makes a bold move, painting three signs leading into her town with a controversial message directed at William Willoughby (Academy Award nominee Woody Harrelson), the town's revered chief of police. When his second-in-command Officer Dixon (Sam Rockwell), an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",R,Comedy|Drama,Martin McDonagh,Martin McDonagh,"Dec 1, 2017","Feb 27, 2018",$,52000189,115 minutes,Fox Searchlight Pictures
606,783,"An all-star cast of action-movie icons headline Sylvester Stallone's explosive action thriller about a group of hard-nosed mercenaries who are double-crossed during a treacherous mission. Approached by the shadowy Church (Bruce Willis) to overthrow tyrannical South American dictator General Gaza (David Zayas) and restore order to the troubled island country of Vilena, stoic soldier of fortune Barney Ross (Stallone) rounds up an unstoppable team that includes former SAS soldier and blade specialist Lee Christmas (Jason Statham); martial arts expert Yin (Jet Li); trigger-happy Hale Caesar (Terry Crews); and cerebral demolitions expert Toll Road (Randy Couture). Traveling to Vilena on a reconnaissance mission with his old pal Christmas, Barney meets their local contact, a cagey guerrilla fighter named Sandra (Giselle Itie), and together the trio scopes out the landscape.. It isn't long before Barney and Christmas have discovered that their actual target is not General Gaza but James Monroe (Eric Roberts), a former CIA operative who has recently gone rogue. Monroe won't be easy to get to either, because his hulking bodyguard Paine (Steve Austin) is a force to be reckoned with. When their mission is compromised, Barney and Christmas are forced to flee, leaving Sandra behind to face almost certain death. But Barney isn't the kind of soldier to abandon a mission, or a hostage, and now in order to get the job done he'll need the help of his old crew.",R,Action and Adventure|Mystery and Suspense,Sylvester Stallone,Dave Callaham|Sylvester Stallone,"Aug 13, 2010","Nov 23, 2010",$,102981571,103 minutes,Lionsgate Films
622,804,"A has-been rock manager from Van Nuys, California stumbles upon a once-in-a-lifetime voice in a remote Afghan cave in Rock the Kasbah, a dramatic comedy inspired by stranger-than-fiction, real-life events and directed by Oscar winner Barry Levinson. Richie Lanz (Bill Murray), dumped and stranded in war-torn Kabul by his last remaining client (Zooey Deschanel), discovers Salima Khan (Leem Lubany), a Pashtun teenager with a beautiful voice and the courageous dream of becoming the first woman to compete on national television in Afghanistan's version of ""American Idol."" Richie partners with a savvy hooker (Kate Hudson), a pair of hard-partying war profiteers (Danny McBride and Scott Caan) and a hair-trigger mercenary (Bruce Willis) and, braving dangerous cultural prejudices, manages his new prot",R,Drama,Barry Levinson,Mitch Glazer,"Oct 23, 2015","Feb 2, 2016",$,1940202,100 minutes,Open Road Films
624,806,"A collection of everyday New Yorkers struggle to carry on with their increasingly stressful lives a year after the city was forever changed by the 9/11 terrorist attacks in Brooklyn-native Danny Leiner's ensemble-cast slice of life. Dr. Trabulous (Tony Shalhoub) is a gifted psychologist with a special knack for truly understanding his patients. When an ordinary businessman (Jim Gaffigan) who has witnessed a terrible office tragedy seeks to gain the insight of the seasoned professional, Dr. Trabulous helps to release a hidden rage that has slowly been eating away at the man's troubled soul. Meanwhile, in the culinary world, Great New Wonderful pastry shop proprietor Emme Keeler (Maggie Gyllenhaal) is about to discover that unseating the woman known as the Queen of Cake (Edie Falco) doesn't come without some heavy consequences. Elsewhere in the city, troubled couple Allison (Judy Greer) and David Burbage (Tom McCarthy) fight to save their marriage and break through to their curiously overconfident ten-year-old boy. Avi (Naseeruddin Shah) and Satish (Sharat Saxena) are immigrants and best friends who work together as security guards and wander the city making observations about contemporary America until their opposing perspectives are challenged by an unexpected development in their lives that neither saw coming. And despite the comfort she takes in her daily routine, Julie Berman (Olympia Dukakis) discovers that her passion for life has long since died, until a visit with a childhood friend helps her to realize just what she's been missing all these lonely years.",R,Comedy|Drama,Danny Leiner,Sam Catlin,"Jun 23, 2006","Sep 12, 2006",$,39712,88 minutes,First Independent Pictures
631,814,"An egotistical TV reporter learns to appreciate the good things in life thanks to an eccentric, homeless clairvoyant in this old-fashioned romantic comedy from director Stephen Herek (Mr. Holland's Opus). Seattle native Lanie Kerrigan (Angelina Jolie) has spent most of her adult existence trying to live down her gawky, geeky adolescence: She toils for hours at the gym to keep cellulite at bay; she's managed to snag an engagement to a star baseball player (Christian Kane); and through her chipper puff pieces on the nightly news, she's cultivated a loyal following of couch potatoes who pester her for autographs. She's ready to take the next step to national news when her boss suggests she further hone her skills with ace cameraman Pete Scanlon (Edward Burns), who also happens to be an old flame of Lanie's. Her comfortable but shallow existence begins to change the moment she and Pete do a story on Prophet Jack (Tony Shaloub), a sage soothsayer who spouts unusually accurate predictions to passers-by in exchange for spare change. Jack offers up the theory that Lanie will not get her cushy promotion; in fact, he says she'll die within a week. When Jack's other prophecies start coming true, Lanie starts living each day as if it were her last -- much to the dismay of her co-workers and her fianc",PG-13,Comedy|Romance,Stephen Herek,John Scott Shepherd|Dana Stevens,"Apr 26, 2002","Oct 15, 2002",$,14400987,103 minutes,20th Century Fox
632,815,"Titanic shipmates Kathy Bates, Leonardo DiCaprio, and Kate Winslet step onboard for director Sam Mendes' tale of suburban malaise in 1950s-era Connecticut. Adapted from the classic 1961 novel by author Richard Yates, Revolutionary Road tells the tale of a young Connecticut couple whose once-idealistic relationship steadily deteriorates into a ceaseless cycle of petty jealousy and bickering as they strive to retain their independence in the conformity-obsessed world of picket fences and perfectly manicured lawns. Ever since they first met, Frank (DiCaprio) and April (Winslet) saw themselves as special and different. They strive to form their relationship around higher ideals, though upon moving into their new home on Revolutionary Road, the defiant couple pledges never to be confined by the social conventions of the era. As time passes, however, Frank and April gradually become the very thing that they both feared most -- a typical suburban family complete with abandoned dreams and faded hopes. Frank loses his nerve after taking a comfortable job with a reliable salary, and April morphs into an unsatisfied homemaker desperate for passion and excitement. But April's independent spirit hasn't been suffocated just yet, and when she hatches a plan to head for Paris, her need to escape at all costs stands in direct contrast to Frank's desire to hold on to what they already have.",R,Drama,Sam Mendes,Justin Haythe,"Dec 15, 2008","Jun 2, 2009",$,22877808,119 minutes,Paramount Vantage
633,816,"Two mismatched wolves embark on a cross-country quest to get back home and restore peace in their pack after being relocated thousands of miles away by well-meaning park rangers. Quick-witted Humphrey (voice of Justin Long) likes to frolic with friends and play video games with squirrels; disciplined Kate (voice of Hayden Panettiere) likes to call the shots and hunt caribou. Normally, an omega wolf like Humphrey would never stand a chance with an alpha wolf like Kate, but when they're both transported halfway across the country they must work together to get back to their natural habitat. And it won't be easy either, because the one thing Humphrey and Kate can agree on is that they don't have anything in common. Perhaps by working together toward a common goal, however, the two contentious traveling companions will finally realize that even lone wolves can use a helping paw every once in a while. Christina Ricci, Danny Glover, Dennis Hopper, and Larry Miller also supply voices for the Crest Animation production, helmed by Anthony Bell and Ben Gluck from a script by Chris Denk.",PG,Action and Adventure|Animation|Comedy|Kids and Family,Anthony Bell|Ben Gluck|Benjamin Gluck,Steve Moore|Chris Denk,"Sep 17, 2010","Jan 11, 2011",$,25077977,88 minutes,Lionsgate Films
657,841,"This is a contemporary retelling of H.G. Wells' seminal sci-fi classic. The adventure/thriller reveals humankind's extraordinary battle against an extra-terrestrial invasion fleet, as seen through the eyes of one American family. Located somewhere in the New England United States, the family -- like millions of others around the globe -- is forced to take refuge from the aliens' highly advanced weapons and impenetrable shields, which are unstoppable against anything that mankind can throw at them. Unable to fight back and finding it more and more difficult to remain hidden from the aliens, the human race faces the end of its existence.",PG-13,Action and Adventure|Science Fiction and Fantasy,Steven Spielberg,Josh Friedman|David Koepp,"Jun 29, 2005","Nov 22, 2005",$,234141872,117 minutes,Paramount Pictures
660,846,"Dee Roberts is a 24-year-old, African-American single mom struggling to make ends meet in a small Texas town. When cops arrest her in a drug sweep, she insists on her innocence. Even though Dee has no prior drug record and no drugs were found on her in the raid or any subsequent searches, she is offered a hellish choice: plead guilty and go home as a convicted felon or remain in prison and fight the charges thus, jeopardizing the custody of her children and risking a long prison sentence. She chooses to fight the district attorney and the unyielding criminal justice system he represents. Joined in an unlikely alliance with an ACLU attorney and former local narcotics officer, Dee risks everything in a battle that forever changes her life and the Texas justice system.",PG-13,Drama,Tim Disney,Bill Haney,"Apr 17, 2009","Oct 13, 2009",$,465786,113 minutes,Samuel Goldwyn Films
662,848,"Curious filmgoers looking to get better acquainted with the silver screen's most notorious cannibalistic serial killer are sure to get their fair share of shocks and thrills as director Peter Webber teams with author Thomas Harris to explore the early life of well-read psychopath Hannibal Lecter. Based on author Harris' gruesome novel of the same name, Hannibal Rising travels back in time to World War II-era Lithuania, where an impressionable, well-to-do young boy named Hannibal (Gaspard Ulliel) was forced to watch helplessly as his family was massacred and his young sister suffered a terrifying fate at the hands of desperate, famished soldiers. After seeking temporary shelter at the Soviet orphanage that was once his family's home, Hannibal later flees to Paris in search of his long-lost uncle. Though his uncle has passed away, his uncle's beautiful Japanese widow, Lady Murasaki (Gong Li), warmly accepts the frightened orphan into her home. But even the love and kindness of this generous stranger isn't enough to calm the raging storm that is brewing inside this troubled young boy. Plagued by nightmares and determined to seek vengeance on the murderous war criminals who brutalized his family, the profoundly disturbed but academically gifted Hannibal enrolls in medical school in order to hone the skills that will allow him to exact horrific justice.",R,Drama|Horror|Mystery and Suspense,Peter Webber,Thomas Harris,"Feb 9, 2007","May 29, 2007",$,27503677,121 minutes,MGM
664,850,"The film is told from the point of view of 19-year-old private Billy Lynn, who, along with his fellow soldiers in Bravo Squad, has been hailed as a hero and brought home for a victory tour after a harrowing Iraq battle. Through flashbacks, culminating at the spectacular halftime show of the Thanksgiving Day football game, the film reveals what really happened to the squad - contrasting the realities of the Iraq conflict with America's celebration back home.",R,Drama,Ang Lee,Jean-Christophe Castelli,"Nov 18, 2016","Feb 14, 2017",$,1736708,110 minutes,Sony Pictures
